id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
02XnQdf7sipaKBBHixz3Zp,Paparazzi,72,208307,0,['Lady Gaga'],['1HY2Jd0NmPuamShAr6KMms'],2008-01-01,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,0.397,114.906,4,Lady Gaga,3.471783333333333,True
285hMzLhJwHVLe9QT9qilk,Breakeven,74,261427,0,['The Script'],['3AQRLZ9PuTAozP28Skbq8V'],2008-07-14,0.63,0.696,10,-4.501,1,0.0242,0.144,0.0,0.0835,0.491,94.034,4,The Script,4.357116666666666,True
5VGlqQANWDKJFl0MBG3sg2,Use Somebody,77,230760,0,['Kings of Leon'],['2qk9voo8llSGYcZ6xrBzKx'],2008-09-23,0.276,0.715,0,-5.356,1,0.0432,0.00552,0.000417,0.201,0.173,137.028,4,Kings of Leon,3.846,True
1GEBsLDvJGw7kviySRI6GX,You Belong With Me,74,232120,0,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],2008-11-11,0.687,0.745,6,-4.432,1,0.0379,0.178,1.59e-05,0.111,0.435,129.966,4,Taylor Swift,3.8686666666666665,True
6A5NlmBCsCGbJ27jHQgKV5,Do You Remember,50,210800,0,"['Jay Sean', 'Sean Paul', 'Lil Jon']","['4pADjHPWyrlAF0FA7joK2H', '3Isy6kedDrgPYoTS1dazA9', '7sfl4Xt5KmfyDs2T3SVSMK']",2009-01-01,0.854,0.674,11,-4.896,1,0.0705,0.0204,0.0,0.101,0.818,125.845,4,Jay Sean,3.513333333333333,True
3SC4yUuwlSL8NvsYgo7B0M,According To You,48,200253,0,['Orianthi'],['0yNy8fi1yBBq526E6mx4Zs'],2009-01-01,0.613,0.917,5,-2.549,1,0.054,0.0222,5.86e-06,0.105,0.538,131.007,4,Orianthi,3.33755,True
3iL2l5gUqyPS6vDwJFgJTR,BedRock,74,288133,1,"['Young Money', 'Lloyd']","['5OrB6Jhhrl9y2PK0pSV4VP', '1Xfmvd48oOhEWkscWyEbh9']",2009-01-01,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,4,Young Money,4.802216666666666,True
0MLX5HfrTW59Mau7UZ8wCP,Down,52,212520,0,"['Jay Sean', 'Lil Wayne']","['4pADjHPWyrlAF0FA7joK2H', '55Aa2cqylxrFIXC767Z865']",2009-01-01,0.658,0.688,2,-4.506,1,0.0334,0.0106,0.0,0.0791,0.689,66.001,4,Jay Sean,3.542,True
1Fo2N5iXRi37maMboaig7O,Undo It,60,177253,0,['Carrie Underwood'],['4xFUf1FHVy696Q1JQZMTRj'],2009-01-01,0.476,0.84,2,-2.259,1,0.058,0.11,0.0,0.046,0.648,156.254,4,Carrie Underwood,2.9542166666666665,True
1YaVmBh7EAeR54FIjuFcb5,Naturally,66,202587,0,['Selena Gomez & The Scene'],['6dJeKm76NjfXBNTpHmOhfO'],2009-01-01,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,4,Selena Gomez & The Scene,3.37645,True
5XRHGXut00SrJUFmcn2lQF,All The Right Moves,66,238000,0,['OneRepublic'],['5Pwc4xIPtQLFEnJriah9YJ'],2009-01-01,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024,4,OneRepublic,3.966666666666667,True
16sbugRbf9xEKlekuQ7Whm,Imma Be,68,257560,0,['Black Eyed Peas'],['1yxSLGMDHlW21z4YXirZDS'],2009-01-01,0.597,0.517,0,-6.963,1,0.365,0.179,0.0,0.307,0.412,92.035,4,Black Eyed Peas,4.292666666666666,True
3kMrazSvILsgcwtidZd1Qd,Bulletproof,72,205733,0,['La Roux'],['3K2zB87GZv1krx031en5VA'],2009-01-01,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,4,La Roux,3.4288833333333333,True
