title,artists,rank,year
TiK ToK,Ke$ha,1,2010
Need You Now,Lady Antebellum,2,2010
"Hey, Soul Sister",Train,3,2010
California Gurls,Katy Perry Featuring Snoop Dogg,4,2010
OMG,Usher Featuring will.i.am,5,2010
Airplanes,B.o.B Featuring Hayley Williams,6,2010
Love The Way You Lie,Eminem Featuring Rihanna,7,2010
Bad Romance,Lady Gaga,8,2010
Dynamite,Taio Cruz,9,2010
Break Your Heart,Taio Cruz Featuring Ludacris,10,2010
Nothin' On You,B.o.B Featuring Bruno Mars,11,2010
I Like It,Enrique Iglesias Featuring Pitbull,12,2010
BedRock,Young Money Featuring Lloyd,13,2010
In My Head,Jason Derulo,14,2010
Rude Boy,Rihanna,15,2010
Telephone,Lady Gaga Featuring Beyonce,16,2010
Teenage Dream,Katy Perry,17,2010
Just The Way You Are,Bruno Mars,18,2010
Cooler Than Me,Mike Posner,19,2010
Imma Be,The Black Eyed Peas,20,2010
Empire State Of Mind,Jay-Z + Alicia Keys,21,2010
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,22,2010
Billionaire,Travie McCoy Featuring Bruno Mars,23,2010
Not Afraid,Eminem,24,2010
Replay,Iyaz ,25,2010
Sexy Chick,David Guetta Featuring Akon,26,2010
Breakeven,The Script,27,2010
Your Love Is My Drug,Ke$ha,28,2010
I Gotta Feeling,The Black Eyed Peas,29,2010
Fireflies,Owl City,30,2010
Say Aah,Trey Songz Featuring Fabolous,31,2010
Find Your Love,Drake,32,2010
 Alejandro,Lady Gaga,33,2010
Ridin' Solo,Jason Derulo,34,2010
Just A Dream,Nelly,35,2010
How Low,Ludacris,36,2010
Like A G6,Far*East Movement Featuring Cataracs & Dev,37,2010
Carry Out,Timbaland Featuring Justin Timberlake,38,2010
Haven't Met You Yet,Michael Buble,39,2010
Club Can't Handle Me,Flo Rida Featuring David Guetta,40,2010
Down, Jay Sean Featuring Lil Wayne,41,2010
Bulletproof,La Roux,42,2010
Whatcha Say,Jason Derulo,43,2010
Baby,Justin Bieber Featuring Ludacris,44,2010
Whataya Want From Me,Adam Lambert,45,2010
Mine,Taylor Swift,46,2010
Only Girl (In The World),Rihanna,47,2010
Live Like We're Dying,Kris Allen,48,2010
Hard,Rihanna Featuring Jeezy,49,2010
Young Forever,Jay-Z + Mr. Hudson,50,2010
Blah Blah Blah,Ke$ha Featuring 3OH!3,51,2010
Bottoms Up,Trey Songz Featuring Nicki Minaj,52,2010
Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,53,2010
All The Right Moves,OneRepublic,54,2010
According To You,Orianthi,55,2010
My Chick Bad,Ludacris Featuring Nicki Minaj,56,2010
You Belong With Me,Taylor Swift,57,2010
Meet Me Halfway,The Black Eyed Peas,58,2010
Take It Off,Ke$ha,59,2010
Over,Drake,60,2010
Animal,Neon Trees,61,2010
Misery,Maroon 5,62,2010
Magic,B.o.B Featuring Rivers Cuomo,63,2010
Paparazzi,Lady Gaga,64,2010
Tie Me Down,New Boyz Featuring Ray J,65,2010
Your Love,Nicki Minaj,66,2010
Party In The U.S.A.,Miley Cyrus,67,2010
Deuces,Chris Brown Featuring Tyga & Kevin McCall,68,2010
3,Britney Spears,69,2010
Impossible,Shontelle,70,2010
Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",71,2010
Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,72,2010
My First Kiss,3OH!3 Featuring Ke$ha,73,2010
Already Gone,Kelly Clarkson,74,2010
Rock That Body,The Black Eyed Peas,75,2010
Secrets,OneRepublic,76,2010
Naturally,Selena Gomez & The Scene,77,2010
Un-Thinkable (I'm Ready),Alicia Keys,78,2010
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",79,2010
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",80,2010
Stuck Like Glue,Sugarland,81,2010
Hey Daddy (Daddy's Home),Usher Featuring Plies,82,2010
There Goes My Baby,Usher,83,2010
Today Was A Fairytale,Taylor Swift,84,2010
Say Something,Timbaland Featuring Drake,85,2010
Sweet Dreams ,Beyonce,86,2010
Use Somebody,Kings Of Leon,87,2010
Undo It,Carrie Underwood,88,2010
Eenie Meenie,Sean Kingston & Justin Bieber,89,2010
Right Above It,Lil Wayne Featuring Drake,90,2010
The House That Built Me,Miranda Lambert,91,2010
If I Die Young,The Band Perry,92,2010
The Only Exception,Paramore,93,2010
American Honey,Lady Antebellum,94,2010
King Of Anything,Sara Bareilles,95,2010
Life After You,Daughtry,96,2010
Smile,Uncle Kracker,97,2010
Teach Me How To Dougie,Cali Swag District,98,2010
Try Sleeping With A Broken Heart,Alicia Keys,99,2010
"Lover, Lover",Jerrod Niemann,100,2010
Rolling In The Deep,Adele,1,2011
Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2,2011
Firework, Katy Perry,3,2011
E.T.,Katy Perry Featuring Kanye West,4,2011
Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",5,2011
Grenade,Bruno Mars,6,2011
Super Bass,Nicki Minaj,8,2011
Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,9,2011
Just Can't Get Enough,The Black Eyed Peas,10,2011
On The Floor,Jennifer Lopez Featuring Pitbull,11,2011
S&M,Rihanna,12,2011
Pumped Up Kicks,Foster The People,13,2011
Last Friday Night (T.G.I.F.),Katy Perry,14,2011
Just The Way You Are,Bruno Mars,15,2011
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,16,2011
Raise Your Glass,P!nk,17,2011
Born This Way,Lady Gaga,18,2011
F**kin' Perfect,P!nk,19,2011
What's My Name?,Rihanna Featuring Drake,20,2011
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,21,2011
Down On Me,Jeremih Featuring 50 Cent,22,2011
How To Love,Lil Wayne,23,2011
Someone Like You,Adele,24,2011
Good Life,OneRepublic,25,2011
The Lazy Song,Bruno Mars,26,2011
Till The World Ends,Britney Spears,27,2011
The Show Goes On,Lupe Fiasco,28,2011
The Edge Of Glory,Lady Gaga,29,2011
We R Who We R,Ke$ha,30,2011
Black And Yellow,Wiz Khalifa,31,2011
