title,artists,rank,year,first_artist,title_fmtd,lyrics
 Alejandro,Lady Gaga,33,2010,lady gaga, alejandro,URL-ERROR-LYRICS-NOT-FOUND
Naturally,Selena Gomez & The Scene,77,2010,selena gomez,naturally,URL-ERROR-LYRICS-NOT-FOUND
Sweet Dreams ,Beyonce,86,2010,beyonce,sweet dreams ,URL-ERROR-LYRICS-NOT-FOUND
F**kin' Perfect,P!nk,19,2011,pink,f**kin perfect,URL-ERROR-LYRICS-NOT-FOUND
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,38,2011,diddy  dirty money,coming home,URL-ERROR-LYRICS-NOT-FOUND
Just A Dream ,Nelly,52,2011,nelly,just a dream ,URL-ERROR-LYRICS-NOT-FOUND
Who Says,Selena Gomez & The Scene,78,2011,selena gomez,who says,URL-ERROR-LYRICS-NOT-FOUND
Remind Me,Brad Paisley Duet With Carrie Underwood,82,2011,brad paisley duet,remind me,URL-ERROR-LYRICS-NOT-FOUND
She Will ,Lil Wayne Featuring Drake,95,2011,lil wayne,she will ,URL-ERROR-LYRICS-NOT-FOUND
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",27,2012,"kanye west, big sean, pusha t, 2 chainz",mercy,URL-ERROR-LYRICS-NOT-FOUND
" Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,32,2012,snoop dogg, young wild and free,URL-ERROR-LYRICS-NOT-FOUND
Ni**as in Paris,Jay Z Kanye West,40,2012,jay z kanye west,ni**as in paris,URL-ERROR-LYRICS-NOT-FOUND
Scream,Usher,44,2012,usher,scream,URL-ERROR-LYRICS-NOT-FOUND
Dance (A$$),Big Sean Featuring Nicki Minaj,57,2012,big sean,dance a$$,URL-ERROR-LYRICS-NOT-FOUND
Love You Like A Love Song,Selena Gomez & The Scene,83,2012,selena gomez,love you like a love song,URL-ERROR-LYRICS-NOT-FOUND
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,5,2013,macklemore,cant hold us,URL-ERROR-LYRICS-NOT-FOUND
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,21,2013,anna kendrick,cups pitch perfects when im gone,URL-ERROR-LYRICS-NOT-FOUND
